"X","Y","H30_Lusit (TWT)"
528380.01,2266261.01,385.206512
528380.01,2266361.01,386.109314
528380.01,2266461.01,-9999
528480.01,2260861.01,-9999
528480.01,2260961.01,411.410561
528480.01,2261061.01,412.783798
528480.01,2261161.01,414.117271
528480.01,2261261.01,414.756073
528480.01,2261361.01,417.753845
528480.01,2261461.01,422.180603
528480.01,2261561.01,425.147827
528480.01,2261661.01,427.259048
528480.01,2261761.01,426.948341
528480.01,2261861.01,429.247986
528480.01,2261961.01,425.488586
528480.01,2262061.01,405.544785
528480.01,2262161.01,401.843338
528480.01,2262261.01,376.307358
528480.01,2262361.01,359.003494
528480.01,2262461.01,357.653687
528480.01,2262561.01,348.659515
528480.01,2262661.01,346.039047
528480.01,2262761.01,347.232712
528480.01,2262861.01,351.715675
528480.01,2262961.01,355.058884
528480.01,2263061.01,356.590515
528480.01,2263161.01,355.461411
528480.01,2263261.01,357.238312
528480.01,2263361.01,359.468231
528480.01,2263461.01,358.843567
528480.01,2263561.01,360.766273
528480.01,2263661.01,362.269363
528480.01,2263761.01,361.569473
528480.01,2263861.01,362.606628
528480.01,2263961.01,364.970245
528480.01,2264061.01,366.70343
528480.01,2264161.01,369.129501
528480.01,2264261.01,371.600418
528480.01,2264361.01,372.810074
