"X","Y","H30_Lusit (Depth)"
528280.01,2263261.01,381.07321167
528280.01,2263361.01,383.223876953
528280.01,2263461.01,384.01651001
528280.01,2263561.01,385.081207275
528280.01,2263661.01,386.558074951
528280.01,2263761.01,386.501342773
528280.01,2263861.01,387.208435059
528280.01,2263961.01,389.770019531
528280.01,2264061.01,391.269378662
528280.01,2264161.01,389.45513916
528280.01,2264261.01,390.988525391
528280.01,2264361.01,392.953338623
528280.01,2264461.01,395.223236084
528280.01,2264561.01,398.572387695
528280.01,2264661.01,396.638702393
528280.01,2264761.01,395.318206787
528280.01,2264861.01,397.460784912
528280.01,2264961.01,399.5887146
528280.01,2265061.01,400.247619629
528280.01,2265161.01,402.294647217
528280.01,2265261.01,403.203826904
528280.01,2265361.01,404.19543457
528280.01,2265461.01,405.185211182
528280.01,2265561.01,395.627197266
528280.01,2265661.01,395.594451904
528280.01,2265761.01,397.182281494
528280.01,2265861.01,398.131500244
528280.01,2265961.01,397.691467285
528280.01,2266061.01,396.818878174
528280.01,2266161.01,395.494903564
528280.01,2266261.01,397.177429199
528280.01,2266361.01,-9999
528280.01,2266461.01,-9999
528380.01,2260861.01,427.632507324
528380.01,2260961.01,425.186584473
528380.01,2261061.01,427.685333252
528380.01,2261161.01,427.297088623
528380.01,2261261.01,428.203033447
528380.01,2261361.01,432.258056641
528380.01,2261461.01,438.415435791
528380.01,2261561.01,445.863708496
528380.01,2261661.01,448.383483887
528380.01,2261761.01,415.43460083
528380.01,2261861.01,389.94039917
528380.01,2261961.01,375.444854736
528380.01,2262061.01,375.444854736
528380.01,2262161.01,375.444854736
528380.01,2262261.01,373.93649292
528380.01,2262361.01,372.843170166
528380.01,2262461.01,373.178100586
528380.01,2262561.01,372.209686279
528380.01,2262661.01,371.91394043
528380.01,2262761.01,371.039154053
528380.01,2262861.01,371.039154053
528380.01,2262961.01,373.677276611
528380.01,2263061.01,375.705505371
528380.01,2263161.01,376.241943359
528380.01,2263261.01,378.654388428
528380.01,2263361.01,381.314605713
528380.01,2263461.01,381.298034668
528380.01,2263561.01,382.321014404
528380.01,2263661.01,383.825592041
528380.01,2263761.01,383.1328125
528380.01,2263861.01,383.238677979
528380.01,2263961.01,385.177764893
528380.01,2264061.01,383.877105713
528380.01,2264161.01,383.555358887
528380.01,2264261.01,385.603881836
528380.01,2264361.01,389.317504883
528380.01,2264461.01,393.70413208
528380.01,2264561.01,396.823608398
528380.01,2264661.01,396.139862061
528380.01,2264761.01,394.350036621
528380.01,2264861.01,396.118774414
528380.01,2264961.01,398.525024414
528380.01,2265061.01,399.187927246
528380.01,2265161.01,400.876098633
